what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1416946248917
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1416946248918
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1416946248919
os,sysinfo,,,"win32",1416946248923
arch,sysinfo,,,"x86_64",1416946248924
ws,sysinfo,,,"win32",1416946248924
locale,sysinfo,,,"es_CO",1416946248924
processors,sysinfo,,,"4",1416946248924
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1416946248924
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1416946248924
java.specification.name,sysinfo,,,"Java Platform API Specification",1416946248924
java.specification.vendor,sysinfo,,,"Oracle Corporation",1416946248924
java.specification.version,sysinfo,,,"1.7",1416946248924
java.vendor,sysinfo,,,"Oracle Corporation",1416946248924
java.version,sysinfo,,,"1.7.0_25",1416946248924
java.vm.info,sysinfo,,,"mixed mode",1416946248924
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1416946248924
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1416946248924
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1416946248924
java.vm.specification.version,sysinfo,,,"1.7",1416946248924
java.vm.vendor,sysinfo,,,"Oracle Corporation",1416946248924
java.vm.version,sysinfo,,,"23.25-b01",1416946248924
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946249185
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946252728
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946255781
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946284517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946286657
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946291258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946294916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946319774
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946331148
started,bundle,org.python.pydev.shared_ui,3.9.0.201411111611,"org.python.pydev.shared_ui",1416946338757
started,bundle,org.python.pydev.core,3.9.0.201411111611,"org.python.pydev.core",1416946338757
started,bundle,org.python.pydev.shared_core,3.9.0.201411111611,"org.python.pydev.shared_core",1416946338757
started,bundle,com.python.pydev.analysis,3.9.0.201411111611,"com.python.pydev.analysis",1416946338851
started,bundle,org.python.pydev,3.9.0.201411111611,"org.python.pydev",1416946338851
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416946435229
