what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948694067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948694124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948696316
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948698800
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948700126
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948704369
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1416948705505
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948706449
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1416948707586
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948708654
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948713374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1416948716231
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948729384
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948738386
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416948743417
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948746268
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948752706
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948754062
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948755812
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948757944
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1416948760297
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948762843
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1416948775173
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948776311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1416948778526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1416948798315
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948800015
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948802517
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948803667
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948868184
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416948872023
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948885433
error,log,,,"INSTANCE",1416948898773
opened,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948898842
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948898855
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948898867
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948898923
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948900636
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1416948904770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1416948914353
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948915400
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948935155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948936486
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416948940894
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948945746
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948956342
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948961619
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416948969210
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948973053
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948974973
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416949036766
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1416949056429
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1416949078096
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416949080056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416949084605
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1416949087094
error,log,,,"INSTANCE",1416949088199
opened,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416949088252
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416949088270
