what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153653235
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153657003
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153657081
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418153658183
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153660489
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418153664667
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418153677238
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153678300
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153742175
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418153750467
error,log,,,"INSTANCE",1418153750726
opened,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153750835
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153750851
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1418153757519
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153762392
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153776552
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153779911
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153781146
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153781802
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153798927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418153799849
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418153830174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153832627
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153837802
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1418153837817
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153838905
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153840702
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153842073
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1418153854894
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418153856816
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418153861591
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418153864044
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418153896613
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153896821
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418153904572
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418153907357
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418153912055
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153912259
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153924927
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418153927994
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153929197
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153931145
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418153932083
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418153934458
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1418153936380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153938325
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418153945341
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.properties",1418153945341
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153948574
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418153959167
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153959276
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418153967555
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418153971888
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153980482
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153992869
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418153996275
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418153997791
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418154000217
