what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399782739
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399790950
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418399799219
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418399805657
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399807691
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399815309
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418399815328
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418399819015
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399841800
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399870970
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399894016
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1418399894226
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1418399911474
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1418399936505
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1418399938497
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1418399939334
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1418399951390
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418399955125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418399955308
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1418399955618
