what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947699200
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1416947699216
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947702779
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947772671
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947778800
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1416947831338
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1416947831370
started,bundle,org.python.pydev.parser,3.9.0.201411111611,"org.python.pydev.parser",1416947887619
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947887634
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947887650
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947890644
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947892443
error,log,,,"Info: Rebuilding internal caches: C:\\Users\\Juanito\\workspace\\.metadata\\.plugins\\com.python.pydev.analysis\\python_v1_258tvcdekrk5tmtf5h0ez044z\\python.pydevsysteminfo (Expected error to be provided and got no error!)",1416947895836
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1416947921253
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947938156
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947940780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947942796
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947945395
error,log,,,"Info: Rebuilding internal caches: C:\\Users\\Juanito\\workspace\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Asocreto\\com.python.pydev.analysis\\AdditionalProjectInterpreterInfo.pydevinfo (Expected error to be provided and got no error!)",1416947955006
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947955314
started,bundle,org.python.pydev.debug,3.9.0.201411111611,"org.python.pydev.debug",1416947956017
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947959101
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947974970
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416947974985
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416947988486
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948032207
started,bundle,org.python.pydev.customizations,3.9.0.201411111611,"org.python.pydev.customizations",1416948032676
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1416948032819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948049004
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948053287
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948073019
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948086605
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948091294
started,bundle,org.python.pydev.django,3.9.0.201411111611,"org.python.pydev.django",1416948097748
started,bundle,com.python.pydev,3.9.0.201411111611,"com.python.pydev",1416948097780
started,bundle,com.python.pydev.refactoring,3.9.0.201411111611,"com.python.pydev.refactoring",1416948097821
started,bundle,org.python.pydev.shared_interactive_console,3.9.0.201411111611,"org.python.pydev.shared_interactive_console",1416948097822
error,log,,,"INSTANCE",1416948097828
started,bundle,org.python.pydev.refactoring,3.9.0.201411111611,"org.python.pydev.refactoring",1416948097840
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1416948097856
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1416948097856
started,bundle,org.python.pydev.jython,3.9.0.201411111611,"org.python.pydev.jython",1416948098028
started,bundle,com.python.pydev.codecompletion,3.9.0.201411111611,"com.python.pydev.codecompletion",1416948098137
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1416948098342
opened,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948098396
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948098427
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948098474
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416948106963
activated,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948107103
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416948108130
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1416948113317
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948113426
closed,editor,org.python.pydev,3.9.0.201411111611,"org.python.pydev.editor.PythonEditor",1416948114966
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948114998
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416948115013
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948118625
opened,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1416948124463
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1416948124494
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948124541
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948129750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948166732
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1416948167919
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1416948167950
activated,view,org.python.pydev,3.9.0.201411111611,"org.python.pydev.navigator.view",1416948177187
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948179893
closed,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1416948184326
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948184349
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1416948184365
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948188896
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948208936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948210780
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948235159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948235237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948236519
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1416948236612
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1416948236815
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1416948236815
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1416948236815
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1416948236815
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1416948236815
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1416948236815
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1416948236815
stopped,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1416948236815
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1416948236815
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1416948236815
stopped,bundle,com.python.pydev.codecompletion,3.9.0.201411111611,"com.python.pydev.codecompletion",1416948236815
stopped,bundle,com.python.pydev.refactoring,3.9.0.201411111611,"com.python.pydev.refactoring",1416948236815
stopped,bundle,com.python.pydev.analysis,3.9.0.201411111611,"com.python.pydev.analysis",1416948236815
stopped,bundle,com.python.pydev.fastparser,3.9.0.201411111611,"com.python.pydev.fastparser",1416948236815
stopped,bundle,com.python.pydev,3.9.0.201411111611,"com.python.pydev",1416948236815
stopped,bundle,org.python.pydev.django,3.9.0.201411111611,"org.python.pydev.django",1416948236815
stopped,bundle,org.python.pydev.customizations,3.9.0.201411111611,"org.python.pydev.customizations",1416948236815
stopped,bundle,org.python.pydev.debug,3.9.0.201411111611,"org.python.pydev.debug",1416948236815
stopped,bundle,org.python.pydev.mylyn,0.4.0,"org.python.pydev.mylyn",1416948236815
stopped,bundle,org.python.pydev.refactoring,3.9.0.201411111611,"org.python.pydev.refactoring",1416948236815
stopped,bundle,org.python.pydev,3.9.0.201411111611,"org.python.pydev",1416948236831
stopped,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1416948236847
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1416948236847
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.303.v201004290328,"org.eclipse.wst.xsd.ui",1416948236847
stopped,bundle,org.eclipse.wst.xml.ui,1.1.100.v201006030742,"org.eclipse.wst.xml.ui",1416948236847
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1416948236847
stopped,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1416948236847
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1416948236847
stopped,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1416948236847
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1416948236847
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1416948236847
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1416948236847
stopped,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1416948236847
stopped,bundle,org.eclipse.mylyn.resources.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.resources.ui",1416948236847
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1416948236847
stopped,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1416948236847
stopped,bundle,org.eclipse.mylyn.help.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.help.ui",1416948236847
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.bugs",1416948236847
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1416948236847
stopped,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1416948236862
stopped,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1416948236862
stopped,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1416948236862
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1416948236862
stopped,bundle,org.python.pydev.shared_interactive_console,3.9.0.201411111611,"org.python.pydev.shared_interactive_console",1416948236862
stopped,bundle,org.python.pydev.jython,3.9.0.201411111611,"org.python.pydev.jython",1416948236862
stopped,bundle,org.python.pydev.parser,3.9.0.201411111611,"org.python.pydev.parser",1416948236862
stopped,bundle,org.python.pydev.core,3.9.0.201411111611,"org.python.pydev.core",1416948236862
stopped,bundle,org.python.pydev.shared_ui,3.9.0.201411111611,"org.python.pydev.shared_ui",1416948236862
stopped,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1416948236862
stopped,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1416948236862
